place,address,rating,activity
Paddle Barn,"Carrer de Felícia Fuster I Viladecans, 67, Ciutat Vella, 08003 Barcelona, Spain",4.9,adventure
Indian Adventures SL,"Carrer de Santaló, 150, Sarrià-Sant Gervasi, 08021 Barcelona, Spain",5,adventure
Paddle rental barcelona,"Av. del Litoral, Sant Martí, 08005 Barcelona, Spain",0,adventure
Representacio Territorial De L'esport,"Carrer de Guipúscoa, 23, 25, Sant Martí, 08018 Barcelona, Spain",4,adventure
Jet Ski Tours Barcelona - Excursiones en moto de agua,"Carrer de la Pau, S/N, 08930 Barcelona, Spain",4.7,adventure
Catalonia Adventures - Guies de muntanya i barrancs,"Carrer de Sarriera, 58, 08720 Vilafranca del Penedès, Barcelona, Spain",4.9,adventure
WATERBIKE BARCELONA,"La Riba, 08519, Barcelona, Spain",5,adventure
BeXtreme,"Carrer de la Indústria, 250, Sant Martí, 08026 Barcelona, Spain",4.6,adventure
ANANDA BARCELONA Wellness Center,"Carrer de la Ciutat de Balaguer, 67-69, local 1, Distrito de Sarrià-Sant Gervasi, 08022 Barcelona, Spain",4.9,relaxation
Bali Spirit Luxury Art Spa,"Carrer d'Aribau, 59, L'Eixample, 08011 Barcelona, Spain",4.4,relaxation
Revive Spa bcn,"Carrer d'Estruc, 34, Ciutat Vella, 08002 Barcelona, Spain",4.9,relaxation
Mandala Wellness,"Carrer de Mallorca, 277, PLANTA 3 PUERTA A, Eixample, 08037 Barcelona, Spain",4.9,relaxation
Mayan Luxury Spa,"Gran Via de les Corts Catalanes, 668, L'Eixample, 08010 Barcelona, Spain",4.7,relaxation
INME Wellness Retreats,"Carrer d'Aribau, 177, L'Eixample, 08036 Barcelona, Spain",5,relaxation
Cursos Mindfulness Barcelona - Mindfulme,"Carrer d'en Rauric, 9, Ciutat Vella, 08002 Barcelona, Spain",5,relaxation
Happy Lotus Massage Therapy & Yoga Barcelona,"By appointment only, Carrer de la Diputació, 401, Eixample, 08013 Barcelona, Spain",4.9,relaxation
Alaya Retreat Centre,"Cal Pau Cruset Barri, Camí de Mas Bertran, 08737, Barcelona, Spain",4.6,relaxation
Avalon | Holistic Ayahuasca Retreats,"Carrer de les Ramelleres, 32, Ciutat Vella, 08001 Barcelona, Spain",4.9,relaxation
Yoga Weeks,"Carrer del Carme, 40, Ciutat Vella, 08001 Barcelona, Spain",4.8,relaxation
Ambrosia Spa Barcelona. Centro de masajes y Wellness,"Passatge de Domingo, 9, L'Eixample, 08007 Barcelona, Spain",4.7,relaxation
"The Spa at Mandarin Oriental, Barcelona","Pg. de Gràcia, 38-40, L'Eixample, 08007 Barcelona, Spain",4.5,relaxation
Meditación Barcelona,"Carrer Rosselló 317 Principal Primera, 08037 Barcelona, Spain",4.7,relaxation
Mindfulness Barcelona,"568 pral 1ª, Gran Via de les Corts Catalanes, 08011 Barcelona, Spain",5,relaxation
Despacio Spa at The One,"Carrer de Provença, 277, L'Eixample, 08037 Barcelona, Spain",4.9,relaxation
Shanti Vida,"Carrer dels Còdols, 20, Ciutat Vella, 08002 Barcelona, Spain",4.7,relaxation
Inside Yoga y Mindfulness para Empresas,"Carrer de la Volta del Remei, 7, Ciutat Vella, 08002 Barcelona, Spain",5,relaxation
"Mandarin Oriental, Barcelona","Pg. de Gràcia, 38-40, L'Eixample, 08007 Barcelona, Spain",4.6,relaxation
Anima Mundi Retreat Center,"Canet de Fals, s/n, Finca Jaumeandreu, 08259 Canet de Fals, Barcelona, Spain",4.7,relaxation
Palau de la Música Catalana,"C/ Palau de la Música, 4-6, Ciutat Vella, 08003 Barcelona, Spain",4.7,culture
Centre de Cultura Contemporània de Barcelona,"Carrer de Montalegre, 5, Ciutat Vella, 08001 Barcelona, Spain",4.6,culture
Picasso Museum Barcelona,"Carrer de Montcada, 15-23, Ciutat Vella, 08003 Barcelona, Spain",4.4,culture
PALAU DALMASES,"Carrer de Montcada, 20, Ciutat Vella, 08003 Barcelona, Spain",4.5,culture
Poble Espanyol,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona, Spain",4.2,culture
Montjuïc National Palace,"Palau Nacional, 08038 Barcelona, Spain",4.7,culture
Official Casa Sors | Best Flamenco Barcelona Show,"Carrer del Consell de Cent, 215, L'Eixample, 08011 Barcelona, Spain",5,culture
Monumental,"Gran Via de les Corts Catalanes, 749, L'Eixample, 08013 Barcelona, Spain",4.2,culture
La Pedrera - Casa Milà,"Pg. de Gràcia, 92, L'Eixample, 08008 Barcelona, Spain",4.6,culture
Pedralbes Royal Palace,"Av. Diagonal, 686, Les Corts, 08034 Barcelona, Spain",4.4,culture
Casa Batlló,"Pg. de Gràcia, 43, L'Eixample, 08007 Barcelona, Spain",4.7,culture
Explore Catalunya,"C/ Palau de la Música, 1, Ciutat Vella, 08003 Barcelona, Spain",4.5,culture
Oficina Ciutadana de la Cultura (antiga Tiquet Rambles),"La Rambla, 99, Ciutat Vella, 08002 Barcelona, Spain",4.5,culture
Basílica de la Sagrada Família,"Eixample, 08013 Barcelona, Spain",4.8,culture
Barcelona Tours,"Plaça Nova, Ciutat Vella, 08002 Barcelona, Spain",4.6,culture
